"theta","dist","k","scs"
0,"simple matching",30,-0.0121212121212121
0,"simple matching",31,-0.00202020202020202
0,"simple matching",32,0.0151515151515152
0,"simple matching",33,0
0,"faith",2,0.041172539813993
0,"faith",3,0.0165938104985014
0,"faith",4,-0.00486437653728903
0,"faith",5,-0.000631346061253442
0,"faith",6,-0.0257964668305049
0,"faith",7,-0.0227955000762342
0,"faith",8,-0.0300414862914863
0,"faith",9,-0.0609036796536797
0,"faith",10,-0.0685215247715248
0,"faith",11,-0.0410864598364598
0,"faith",12,-0.069085607153789
0,"faith",13,-0.0875562989199353
0,"faith",14,-0.100937950937951
0,"faith",15,-0.117604617604618
0,"faith",16,-0.147402597402597
0,"faith",17,-0.0918470418470418
0,"faith",18,-0.0842712842712843
0,"faith",19,-0.0665945165945166
0,"faith",20,-0.0557720057720058
0,"faith",21,-0.0449494949494949
0,"faith",22,-0.0813131313131313
0,"faith",23,-0.0585858585858586
0,"faith",24,-0.0484848484848485
0,"faith",25,-0.046969696969697
0,"faith",26,-0.0318181818181818
0,"faith",27,-0.0116161616161616
0,"faith",28,-0.0237373737373737
0,"faith",29,-0.0136363636363636
0,"faith",30,-0.0121212121212121
0,"faith",31,-0.00202020202020202
0,"faith",32,0.0151515151515152
0,"faith",33,0
0.0707142857142857,"cosine",2,-0.116179077891995
0.0707142857142857,"cosine",3,-0.0580930528170365
0.0707142857142857,"cosine",4,-0.00619869869891255
0.0707142857142857,"cosine",5,0.0140033215031077
0.0707142857142857,"cosine",6,0.0862196923797142
0.0707142857142857,"cosine",7,0.0503744382743351
0.0707142857142857,"cosine",8,0.0347178726177694
0.0707142857142857,"cosine",9,0.0180192827733995
0.0707142857142857,"cosine",10,0.066835078000678
0.0707142857142857,"cosine",11,0.064814875980476
0.0707142857142857,"cosine",12,0.0963475320532737
0.0707142857142857,"cosine",13,0.174266474266474
0.0707142857142857,"cosine",14,0.122390572390572
0.0707142857142857,"cosine",15,0.204208754208754
0.0707142857142857,"cosine",16,0.196993746993747
0.0707142857142857,"cosine",17,0.210582010582011
0.0707142857142857,"cosine",18,0.240885040885041
0.0707142857142857,"cosine",19,0.271431598704326
0.0707142857142857,"cosine",20,0.268906346179073
0.0707142857142857,"cosine",21,0.208585858585859
0.0707142857142857,"cosine",22,0.175252525252525
0.0707142857142857,"cosine",23,0.162626262626263
0.0707142857142857,"cosine",24,0.134343434343434
0.0707142857142857,"cosine",25,0.114141414141414
0.0707142857142857,"cosine",26,0.0939393939393939
0.0707142857142857,"cosine",27,0.0606060606060606
0.0707142857142857,"cosine",28,0.0454545454545455
0.0707142857142857,"cosine",29,0.0303030303030303
0.0707142857142857,"cosine",30,0.0151515151515152
0.0707142857142857,"cosine",31,0
0.0707142857142857,"cosine",32,-0.0303030303030303
0.0707142857142857,"cosine",33,0
0.0707142857142857,"jaccard",2,-0.116179077891995
0.0707142857142857,"jaccard",3,-0.0580930528170365
0.0707142857142857,"jaccard",4,-0.00619869869891255
0.0707142857142857,"jaccard",5,0.0140033215031077
0.0707142857142857,"jaccard",6,0.0862196923797142
0.0707142857142857,"jaccard",7,0.0503744382743351
0.0707142857142857,"jaccard",8,0.0347178726177694
0.0707142857142857,"jaccard",9,0.0180192827733995
0.0707142857142857,"jaccard",10,0.066835078000678
0.0707142857142857,"jaccard",11,0.064814875980476
0.0707142857142857,"jaccard",12,0.0963475320532737
0.0707142857142857,"jaccard",13,0.174266474266474
0.0707142857142857,"jaccard",14,0.122390572390572
0.0707142857142857,"jaccard",15,0.204208754208754
0.0707142857142857,"jaccard",16,0.196993746993747
0.0707142857142857,"jaccard",17,0.210582010582011
0.0707142857142857,"jaccard",18,0.240885040885041
0.0707142857142857,"jaccard",19,0.271431598704326
0.0707142857142857,"jaccard",20,0.268906346179073
0.0707142857142857,"jaccard",21,0.208585858585859
0.0707142857142857,"jaccard",22,0.175252525252525
0.0707142857142857,"jaccard",23,0.162626262626263
0.0707142857142857,"jaccard",24,0.134343434343434
0.0707142857142857,"jaccard",25,0.114141414141414
0.0707142857142857,"jaccard",26,0.0939393939393939
0.0707142857142857,"jaccard",27,0.0606060606060606
0.0707142857142857,"jaccard",28,0.0454545454545455
0.0707142857142857,"jaccard",29,0.0303030303030303
0.0707142857142857,"jaccard",30,0.0151515151515152
0.0707142857142857,"jaccard",31,0
0.0707142857142857,"jaccard",32,-0.0303030303030303
0.0707142857142857,"jaccard",33,0
0.0707142857142857,"hamman",2,-0.0546284644538857
0.0707142857142857,"hamman",3,-0.095291555025989
0.0707142857142857,"hamman",4,-0.127337361712362
0.0707142857142857,"hamman",5,-0.132246172202723
0.0707142857142857,"hamman",6,-0.151330813546723
0.0707142857142857,"hamman",7,-0.167839651930561
0.0707142857142857,"hamman",8,-0.148186956141502
0.0707142857142857,"hamman",9,-0.153799903799904
0.0707142857142857,"hamman",10,-0.176527176527177
0.0707142857142857,"hamman",11,-0.248328523328523
0.0707142857142857,"hamman",12,-0.271055796055796
0.0707142857142857,"hamman",13,-0.278162578162578
0.0707142857142857,"hamman",14,-0.263852813852814
0.0707142857142857,"hamman",15,-0.290151515151515
0.0707142857142857,"hamman",16,-0.316666666666667
0.0707142857142857,"hamman",17,-0.316666666666667
0.0707142857142857,"hamman",18,-0.315656565656566
0.0707142857142857,"hamman",19,-0.292929292929293
0.0707142857142857,"hamman",20,-0.27020202020202
0.0707142857142857,"hamman",21,-0.28030303030303
0.0707142857142857,"hamman",22,-0.262626262626263
0.0707142857142857,"hamman",23,-0.247474747474747
0.0707142857142857,"hamman",24,-0.257575757575758
0.0707142857142857,"hamman",25,-0.227272727272727
0.0707142857142857,"hamman",26,-0.196969696969697
0.0707142857142857,"hamman",27,-0.166666666666667
0.0707142857142857,"hamman",28,-0.136363636363636
0.0707142857142857,"hamman",29,-0.121212121212121
0.0707142857142857,"hamman",30,-0.0909090909090909
0.0707142857142857,"hamman",31,-0.0606060606060606
0.0707142857142857,"hamman",32,-0.0303030303030303
0.0707142857142857,"hamman",33,0
0.0707142857142857,"simple matching",2,-0.00164200592916656
0.0707142857142857,"simple matching",3,-0.0182377869505257
0.0707142857142857,"simple matching",4,-0.0119704366224757
0.0707142857142857,"simple matching",5,-0.0180159915396562
0.0707142857142857,"simple matching",6,-0.00686210530356321
