"theta","dist","k","scs"
0,"jaccard",25,-0.0341428571428571
0,"jaccard",26,-0.0561428571428571
0,"jaccard",27,-0.0494761904761905
0,"jaccard",28,-0.0544761904761905
0,"jaccard",29,-0.0444761904761905
0,"jaccard",30,-0.0244761904761905
0,"jaccard",31,-0.0633809523809524
0,"jaccard",32,-0.0733809523809524
0,"jaccard",33,-0.070047619047619
0,"jaccard",34,-0.060047619047619
0,"jaccard",35,-0.0863333333333333
0,"jaccard",36,-0.0853333333333333
0,"jaccard",37,-0.0953333333333333
0,"jaccard",38,-0.0803333333333333
0,"jaccard",39,-0.0793333333333333
0,"jaccard",40,-0.0633333333333333
0,"jaccard",41,-0.0623333333333333
0,"jaccard",42,-0.0556666666666667
0,"jaccard",43,-0.0423333333333333
0,"jaccard",44,-0.0223333333333333
0,"jaccard",45,-0.0156666666666667
0,"jaccard",46,-0.00233333333333333
0,"jaccard",47,-0.041
0,"jaccard",48,-0.021
0,"jaccard",49,-0.02
0,"jaccard",50,0
0,"hamman",2,0.0205225584264771
0,"hamman",3,0.0174759160662999
0,"hamman",4,0.0258005820483008
0,"hamman",5,0.0118700841939264
0,"hamman",6,0.0661364201164298
0,"hamman",7,0.0312765781602772
0,"hamman",8,0.023612373765638
0,"hamman",9,0.0569068974978155
0,"hamman",10,0.0303048558612911
0,"hamman",11,-0.00471311558811559
0,"hamman",12,0.00267658730158731
0,"hamman",13,0.00374620287120287
0,"hamman",14,0.000234159359159357
0,"hamman",15,-0.0167896501646502
0,"hamman",16,0.0121598447848448
0,"hamman",17,-0.0126657185407185
0,"hamman",18,0.0233709114959115
0,"hamman",19,0.0431459142709143
0,"hamman",20,0.0328450484700485
0,"hamman",21,0.0261201206201206
0,"hamman",22,-0.00887987937987938
0,"hamman",23,-0.0191894031894032
0,"hamman",24,-0.0320951825951826
0,"hamman",25,-0.0341428571428571
0,"hamman",26,-0.0561428571428571
0,"hamman",27,-0.0494761904761905
0,"hamman",28,-0.0544761904761905
0,"hamman",29,-0.0444761904761905
0,"hamman",30,-0.0244761904761905
0,"hamman",31,-0.0633809523809524
0,"hamman",32,-0.0733809523809524
0,"hamman",33,-0.070047619047619
0,"hamman",34,-0.060047619047619
0,"hamman",35,-0.0863333333333333
0,"hamman",36,-0.0853333333333333
0,"hamman",37,-0.0953333333333333
0,"hamman",38,-0.0803333333333333
0,"hamman",39,-0.0793333333333333
0,"hamman",40,-0.0633333333333333
0,"hamman",41,-0.0623333333333333
0,"hamman",42,-0.0556666666666667
0,"hamman",43,-0.0423333333333333
0,"hamman",44,-0.0223333333333333
0,"hamman",45,-0.0156666666666667
0,"hamman",46,-0.00233333333333333
0,"hamman",47,-0.041
0,"hamman",48,-0.021
0,"hamman",49,-0.02
0,"hamman",50,0
0,"simple matching",2,0.0205225584264771
0,"simple matching",3,0.0174759160662999
0,"simple matching",4,0.0258005820483008
0,"simple matching",5,0.0118700841939264
0,"simple matching",6,0.0661364201164298
0,"simple matching",7,0.0312765781602772
0,"simple matching",8,0.023612373765638
0,"simple matching",9,0.0569068974978155
0,"simple matching",10,0.0303048558612911
0,"simple matching",11,-0.00471311558811559
0,"simple matching",12,0.00267658730158731
0,"simple matching",13,0.00374620287120287
0,"simple matching",14,0.000234159359159357
0,"simple matching",15,-0.0167896501646502
0,"simple matching",16,0.0121598447848448
0,"simple matching",17,-0.0126657185407185
0,"simple matching",18,0.0233709114959115
0,"simple matching",19,0.0431459142709143
0,"simple matching",20,0.0328450484700485
0,"simple matching",21,0.0261201206201206
0,"simple matching",22,-0.00887987937987938
0,"simple matching",23,-0.0191894031894032
0,"simple matching",24,-0.0320951825951826
0,"simple matching",25,-0.0341428571428571
0,"simple matching",26,-0.0561428571428571
